"sid","school_code","grade_level","year","male","race_ethnicity","eco_dis","title_1","migrant","lep","iep","rdg_ss","math_ss","wrtg_ss","composition"
"000000069","000000003","3",2002,"M","B",0,NA,NA,0,"0",1189.87051386025,1269.61923327422,NA,NA
"000003423","000000003","3",2002,"M","B",0,NA,NA,0,"0",1144.90091310245,1222.70250000656,NA,NA
"000004421","000000011","3",2002,"M","W",0,NA,NA,0,"0",1548.54219683544,1604.26801053711,NA,NA
"000004949","000000004","3",2002,"F","W",1,NA,NA,0,"0",1426.76256371231,1456.43984841763,NA,NA
"000000022","000000008","3",2003,"F","W",0,NA,NA,0,"0",1452.40426126677,1482.40733357324,NA,NA
"000000068","000000011","3",2003,"F","A",1,NA,NA,0,"0",1733.61923051409,1754.55380994158,NA,NA
"000000069","000000003","4",2003,"M","B",0,NA,NA,0,"0",1285.78315276581,1368.35707949861,NA,NA
"000000083","000000006","3",2003,"M","H",1,NA,NA,0,"0",1713.34070467062,1767.70090740893,NA,NA
"000000109","000000010","3",2003,"F","W",1,NA,NA,0,"0",1647.39160279678,1668.87866282993,NA,NA
"000000111","000000004","3",2003,"M","W",0,NA,NA,0,"0",1312.63782201276,1383.9110848554,NA,NA
"000000124","000000003","3",2003,"M","H",0,NA,NA,0,"0",1452.40426126677,1515.7655077813,NA,NA
"000000128","000000006","3",2003,"F","H",2,NA,NA,0,"0",1665.44216989418,1686.7573341648,NA,NA
"000000135","000000006","3",2003,"M","H",1,NA,NA,0,"0",1460.95718767867,1524.55514805356,NA,NA
"000000163","000000006","3",2003,"M","H",0,NA,NA,0,"0",1554.95100240446,1610.42596119621,NA,NA
"000000170","000000006","3",2003,"F","A",0,NA,NA,1,"0",1589.73960895547,1611.42044005593,NA,NA
"000000209","000000005","3",2003,"F","H",0,NA,NA,0,"0",1629.96879666704,1651.64802545669,NA,NA
"000000221","000000011","3",2003,"F","W",1,NA,NA,0,"0",1110.84581039399,1153.24035590563,NA,NA
"000000231","000000006","3",2003,"F","B",1,NA,NA,1,"0",1713.34070467062,1734.34273320088,NA,NA
"000000282","000000001","3",2003,"F","W",0,NA,NA,0,"0",1647.39160279678,1668.87866282993,NA,NA
"000000301","000000005","3",2003,"F","W",1,NA,NA,0,"0",1513.04241729494,1537.81406314918,NA,NA
"000000352","000000011","3",2003,"M","W",0,NA,NA,0,"0",1383.92332744753,1451.96236991373,NA,NA
"000000359","000000004","4",2003,"F","W",0,NA,NA,0,"0",1510.25251964976,1567.93813838279,NA,NA
"000000364","000000009","3",2003,"F","W",0,NA,NA,0,"0",1407.14778720353,1438.93010919294,NA,NA
"000000365","000000006","3",2003,"M","H",0,NA,NA,0,"1",1374.48519208721,1443.25945345935,NA,NA
"000000375","000000005","3",2003,"F","W",9,NA,NA,0,"0",1309.40054681427,1347.31104106838,NA,NA
"000000389","000000002","3",2003,"F","H",0,NA,NA,0,"0",1397.93149616422,1431.30083895184,NA,NA
"000000394","000000003","3",2003,"M","W",1,NA,NA,0,"0",1360.00561533151,1430.1847277501,NA,NA
"000000397","000000002","3",2003,"F","W",0,NA,NA,0,"0",1744.00025839664,1764.91562652409,NA,NA
"000000409","000000012","3",2003,"M","W",0,NA,NA,0,"0",1364.88668003821,1434.56875465778,NA,NA
