scale_score,freq,cum_freq,cum_perc,perc,subject,grade
826,105,105,0.03,0.03,math,3
960,68,173,0.02,0.04,math,3
1042,269,442,0.07,0.11,math,3
1092,759,1201,0.19,0.31,math,3
1129,1666,2867,0.43,0.74,math,3
1159,3037,5904,0.78,1.51,math,3
1185,4789,10693,1.23,2.74,math,3
1208,6335,17028,1.63,4.37,math,3
1228,7483,24511,1.92,6.29,math,3
1247,8359,32870,2.14,8.43,math,3
1265,8926,41796,2.29,10.72,math,3
1282,9455,51251,2.43,13.15,math,3
1298,9582,60833,2.46,15.61,math,3
1314,9769,70602,2.51,18.11,math,3
1330,10174,80776,2.61,20.73,math,3
1345,10814,91590,2.77,23.5,math,3
1360,11153,102743,2.86,26.36,math,3
1375,11979,114722,3.07,29.44,math,3
1390,12554,127276,3.22,32.66,math,3
1405,13305,140581,3.41,36.07,math,3
1421,14373,154954,3.69,39.76,math,3
1437,15287,170241,3.92,43.68,math,3
1454,16215,186456,4.16,47.84,math,3
1472,17750,204206,4.55,52.39,math,3
1486,19282,223488,4.95,57.34,math,3
1511,20803,244291,5.34,62.68,math,3
1533,22680,266971,5.82,68.5,math,3
1559,23837,290808,6.12,74.61,math,3
1596,24812,315620,6.37,80.98,math,3
1625,24827,340447,6.37,87.35,math,3
1675,22729,363176,5.83,93.18,math,3
1755,17762,380938,4.56,97.74,math,3
1889,8808,389746,2.26,100,math,3
944,105,105,0.03,0.03,math,4
1076,50,155,0.01,0.04,math,4
1156,233,388,0.06,0.1,math,4
1204,709,1097,0.18,0.28,math,4
1239,1645,2742,0.42,0.69,math,4
1268,3023,5765,0.76,1.46,math,4
1293,4691,10456,1.19,2.64,math,4
1314,6332,16788,1.6,4.25,math,4
1334,7649,24437,1.93,6.18,math,4
1352,8136,32573,2.06,8.24,math,4
1368,8710,41283,2.2,10.44,math,4
1384,9130,50413,2.31,12.75,math,4
1400,9345,59758,2.36,15.12,math,4
1414,9649,69407,2.44,17.56,math,4
1428,9998,79405,2.53,20.09,math,4
1443,10392,89797,2.63,22.72,math,4
1456,10889,100686,2.75,25.47,math,4
1467,11601,112287,2.93,28.4,math,4
1484,12255,124542,3.1,31.5,math,4
1498,13210,137752,3.34,34.85,math,4
1512,13528,151280,3.42,38.27,math,4
1526,14441,165721,3.65,41.92,math,4
1541,15234,180955,3.85,45.78,math,4
1556,16420,197375,4.15,49.93,math,4
1572,17021,214396,4.31,54.23,math,4
1589,17939,232335,4.54,58.77,math,4
1606,18682,251017,4.73,63.5,math,4
1626,19499,270516,4.93,68.43,math,4
1648,19766,290282,5,73.43,math,4
1670,20643,310925,5.22,78.65,math,4
1701,20992,331917,5.31,83.96,math,4
1737,20553,352470,5.2,89.16,math,4
1785,18979,371449,4.8,93.96,math,4
1864,15356,386805,3.88,97.85,math,4
1997,8508,395313,2.15,100,math,4
963,76,76,0.02,0.02,math,5
1097,9,85,0,0.02,math,5
1177,48,133,0.01,0.03,math,5
1227,172,305,0.04,0.08,math,5
1264,435,740,0.11,0.19,math,5
1293,984,1724,0.25,0.44,math,5
1319,1739,3463,0.45,0.89,math,5
1341,2848,6311,0.73,1.63,math,5
1361,4072,10383,1.05,2.68,math,5
1380,5205,15588,1.34,4.02,math,5
1398,6065,21653,1.56,5.59,math,5
1414,7148,28801,1.84,7.43,math,5
1430,7786,36587,2.01,9.44,math,5
1445,8413,45000,2.17,11.61,math,5
1460,9078,54078,2.34,13.95,math,5
1474,9631,63709,2.48,16.44,math,5
1488,10131,73840,2.61,19.05,math,5
1500,10756,84596,2.78,21.83,math,5
1516,11735,96331,3.03,24.85,math,5
1530,12478,108809,3.22,28.07,math,5
1544,13428,122237,3.46,31.54,math,5
1558,13915,136152,3.59,35.13,math,5
1572,15028,151180,3.88,39.01,math,5
1586,15721,166901,4.06,43.06,math,5
1601,16260,183161,4.2,47.26,math,5
1617,17263,200424,4.45,51.71,math,5
1625,17859,218283,4.61,56.32,math,5
1650,18398,236681,4.75,61.07,math,5
1668,19091,255772,4.93,65.99,math,5
1688,19266,275038,4.97,70.96,math,5
1710,19590,294628,5.05,76.02,math,5
1724,19248,313876,4.97,80.98,math,5
1764,18600,332476,4.8,85.78,math,5
1800,17854,350330,4.61,90.39,math,5
1849,16128,366458,4.16,94.55,math,5
1929,13090,379548,3.38,97.93,math,5
2062,8031,387579,2.07,100,math,5
1068,120,120,0.03,0.03,math,6
1200,63,183,0.02,0.05,math,6
1279,306,489,0.08,0.13,math,6
1327,1034,1523,0.27,0.4,math,6
1362,2339,3862,0.61,1,math,6
1391,4631,8493,1.2,2.21,math,6
1415,7217,15710,1.88,4.08,math,6
1436,10282,25992,2.67,6.76,math,6
1455,12496,38488,3.25,10.01,math,6
1472,13984,52472,3.64,13.64,math,6
1488,14585,67057,3.79,17.44,math,6
1503,14650,81707,3.81,21.25,math,6
1517,14797,96504,3.85,25.09,math,6
1536,14311,110815,3.72,28.81,math,6
1544,13987,124802,3.64,32.45,math,6
1557,13747,138549,3.57,36.03,math,6
1569,13776,152325,3.58,39.61,math,6
1581,13047,165372,3.39,43,math,6
1593,12722,178094,3.31,46.31,math,6
1605,12704,190798,3.3,49.61,math,6
1617,12467,203265,3.24,52.85,math,6
1629,12292,215557,3.2,56.05,math,6
1642,12042,227599,3.13,59.18,math,6
1653,11883,239482,3.09,62.27,math,6
1667,11615,251097,3.02,65.29,math,6
1680,11579,262676,3.01,68.3,math,6
1693,11343,274019,2.95,71.25,math,6
1707,11176,285195,2.91,74.16,math,6
1722,11060,296255,2.88,77.03,math,6
1738,10848,307103,2.82,79.85,math,6
1754,10651,317754,2.77,82.62,math,6
1772,10413,328167,2.71,85.33,math,6
1793,10245,338412,2.66,87.99,math,6
1817,9883,348295,2.57,90.56,math,6
1845,9464,357759,2.46,93.03,math,6
1879,9022,366781,2.35,95.37,math,6
1927,8005,374786,2.08,97.45,math,6
2005,6315,381101,1.64,99.09,math,6
2137,3481,384582,0.91,100,math,6
1078,146,146,0.04,0.04,math,7
